trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.3, 'e': 0.03080741103275097}",30,16,22.80943444949797,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.02989691443692621}",25,16,16.37016206142993,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.029013327082196953}",25,7,32.03935451531835,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.028155853680300002}",20,2,26.906807936204338,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.02732372244729246}",30,0,42.296367239497876,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.3, 'e': 0.026516184408894083}",20,0,24.65881035896219,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.3, 'e': 0.025732512726359853}",20,7,27.997685475639386,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.024972002042276065}",20,3,12.766806207967317,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.02423396784569103}",20,3,24.549342629843252,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.023517745856009024}",20,8,21.19693591829953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.022822691425092894}",20,4,22.582383052283067,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.022148178957037235}",20,9,5.948259680216841,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.02149360134508984}",25,9,28.06933791229004,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.020858369425214643}",25,9,27.209109502158164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.020241911445804315}",20,6,20.982237327021508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.019643672553065223}",25,18,8.530392055972253,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.019063114291611567}",30,20,21.243215135123812,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.01849971411981918}",35,13,41.28955790574377,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.017952964939502793}",20,6,21.63374455885112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.01742237463949345}",20,15,9.224325827600683,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.016907465652705216}",25,5,30.75398236690401,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.01640777452629259}",25,0,31.028416891610853,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.3, 'e': 0.015922851504511632}",20,0,23.670945393532346,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.3, 'e': 0.015452260123909456}",25,15,19.926814079122543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.01499557682047765}",20,3,26.605284080184948,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.014552390548416075}",20,0,27.334231794265165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.014122302410163904}",20,12,12.92495691048973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
